    1.35388E+04    -7.49614E-14     5.42589E+03     1.45637E+04     4.39764E+01     1.69369E-02
    1.39897E+04    -7.74579E-14     5.64187E+03     1.50637E+04     4.55255E+01     1.77394E-02
    1.44398E+04    -7.99495E-14     5.85968E+03     1.55637E+04     4.70776E+01     1.85633E-02
    1.48890E+04    -8.24361E-14     6.07930E+03     1.60637E+04     4.86327E+01     1.94092E-02
    1.53373E+04    -8.49177E-14     6.30070E+03     1.65637E+04     5.01908E+01     2.02780E-02
    1.57847E+04    -8.73943E-14     6.52389E+03     1.70637E+04     5.17519E+01     2.11705E-02
    1.62313E+04    -8.98661E-14     6.74883E+03     1.75637E+04     5.33162E+01     2.20878E-02
    1.66769E+04    -9.23330E-14     6.97552E+03     1.80637E+04     5.48837E+01     2.30307E-02
    1.71217E+04    -9.47949E-14     7.20393E+03     1.85637E+04     5.64542E+01     2.40001E-02
    1.75656E+04    -9.72519E-14     7.43404E+03     1.90637E+04     5.80278E+01     2.49970E-02
    1.80086E+04    -9.97039E-14     7.66582E+03     1.95637E+04     5.96045E+01     2.60222E-02
    1.84508E+04    -1.02151E-13     7.89926E+03     2.00637E+04     6.11842E+01     2.70770E-02
    1.88921E+04    -1.04593E-13     8.13434E+03     2.05637E+04     6.27671E+01     2.81623E-02
    1.93325E+04    -1.07030E-13     8.37103E+03     2.10637E+04     6.43531E+01     2.92792E-02
    1.97721E+04    -1.09463E-13     8.60933E+03     2.15637E+04     6.59422E+01     3.04289E-02
    2.02108E+04    -1.11891E-13     8.84921E+03     2.20637E+04     6.75345E+01     3.16125E-02
    2.06486E+04    -1.14313E-13     9.09065E+03     2.25637E+04     6.91299E+01     3.28313E-02
    2.10856E+04    -1.16731E-13     9.33362E+03     2.30637E+04     7.07284E+01     3.40864E-02
    2.15218E+04    -1.19144E-13     9.57809E+03     2.35637E+04     7.23300E+01     3.53789E-02
    2.19571E+04    -1.21552E-13     9.82404E+03     2.40637E+04     7.39346E+01     3.67101E-02
    2.23916E+04    -1.23955E-13     1.00715E+04     2.45637E+04     7.55423E+01     3.80816E-02
    2.28253E+04    -1.26353E-13     1.03204E+04     2.50637E+04     7.71530E+01     3.94946E-02
    2.32581E+04    -1.28747E-13     1.05707E+04     2.55637E+04     7.87668E+01     4.09506E-02
    2.36901E+04    -1.31136E-13     1.08223E+04     2.60637E+04     8.03835E+01     4.24509E-02
    2.41214E+04    -1.33521E-13     1.10754E+04     2.65637E+04     8.20033E+01     4.39970E-02
    2.45518E+04    -1.35900E-13     1.13298E+04     2.70637E+04     8.36261E+01     4.55904E-02
    2.49815E+04    -1.38275E-13     1.15855E+04     2.75637E+04     8.52520E+01     4.72327E-02
    2.54104E+04    -1.40645E-13     1.18425E+04     2.80637E+04     8.68807E+01     4.89254E-02
    2.58385E+04    -1.43010E-13     1.21009E+04     2.85637E+04     8.85123E+01     5.06701E-02
