Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
91.1876	1.30071	39.0218	-80.4943	-0.00638472	306.224	4.95014e-06	0.318635	0.0242076	0.00679177	0	2.83794	0.00844222	0.701591	-3261.19
92.408	1.3291	39.2908	-80.4962	-0.0068373	309.868	4.75607e-06	0.319264	0.0249917	0.0068748	0	2.83779	0.00904416	0.646833	-3125.96
93.6329	1.35784	39.5382	-80.4696	-0.00729993	313.497	4.5851e-06	0.319843	0.0257114	0.00691184	0	2.83764	0.00963436	0.592581	-2987.52
94.8619	1.38679	39.7645	-80.4125	-0.0077712	317.112	4.43502e-06	0.320379	0.0263623	0.00690793	0	2.8375	0.0102099	0.538747	-2845.49
96.0944	1.41581	39.9705	-80.3502	-0.00824926	320.715	4.3034e-06	0.320814	0.0269441	0.00687014	0	2.83736	0.0107717	0.488428	-2715.81
97.3302	1.4448	40.1561	-80.2628	-0.00873357	324.307	4.18881e-06	0.321213	0.0274563	0.00680515	0	2.83721	0.0113214	0.438827	-2585.98
98.5687	1.47368	40.3227	-80.1572	-0.00922237	327.89	4.08909e-06	0.321562	0.0279047	0.00672002	0	2.83707	0.0118576	0.390736	-2459.73
99.8096	1.50239	40.4706	-80.0381	-0.00971497	331.464	4.00289e-06	0.321862	0.0282923	0.00662368	0	2.83692	0.0123811	0.344361	-2339.36
101.053	1.53092	40.6	-79.9119	-0.010211	335.032	3.92927e-06	0.322114	0.0286244	0.00652363	0	2.83678	0.012891	0.299781	-2227.8
102.297	1.55926	40.7121	-79.7701	-0.0107092	338.594	3.86676e-06	0.322329	0.0289065	0.00642508	0	2.83663	0.0133933	0.256335	-2119.73
103.543	1.58743	40.8061	-79.5648	-0.0112098	342.15	3.81695e-06	0.322528	0.0291035	0.00633023	0	2.83649	0.0138843	0.211095	-1994.86
104.791	1.61548	40.8834	-79.4767	-0.0117119	345.703	3.77489e-06	0.322649	0.0292986	0.00625147	0	2.83634	0.0143617	0.172787	-1931.63
106.039	1.64344	40.9451	-79.3125	-0.0122148	349.253	3.74132e-06	0.32276	0.0294621	0.00618587	0	2.83619	0.0148282	0.132548	-1842.15
107.288	1.67136	40.9902	-79.0899	-0.0127185	352.8	3.71646e-06	0.32285	0.0295927	0.00613702	0	2.83604	0.0152857	0.0912868	-1737.53
108.537	1.69932	41.019	-78.9388	-0.0132229	356.345	3.69991e-06	0.322905	0.0296922	0.00610653	0	2.8359	0.0157324	0.0520536	-1669.78
109.787	1.72737	41.0324	-78.8794	-0.0137276	359.889	3.69118e-06	0.322932	0.029763	0.00609461	0	2.83575	0.016167	0.0142024	-1642.53
111.036	1.75559	41.0305	-78.8942	-0.0142324	363.432	3.69005e-06	0.322935	0.029806	0.00610136	0	2.8356	0.0165898	-0.0233499	-1647.04
112.286	1.78402	41.0135	-78.9853	-0.0147371	366.975	3.69654e-06	0.322914	0.0298208	0.00612682	0	2.83546	0.017001	-0.061387	-1684.45
